Gaming_Platform,YoR,Sales_NA,Sales_EU,Sales_JP,Other_Sales,Genre
PC,2009,0,0.01,0,0,Adventure
WiiU,2010,0.48,0.38,0.27,0.9,Adventure
DS,2008,0.08,0.02,0,0.01,Action
PS3,2010,0.55,0.55,,0.21,Action
XB,2005,0.09,0.03,0,0,Racing
DS,2005,0.05,0,0,0,Action
PS3,2015,0,0,0.06,0,Action
GBA,2002,0.04,0.01,0,0,Racing
PSV,2014,0,0,0.02,0,Adventure
XOne,2015,0.11,0.13,0,0.02,Racing
DS,2007,0.41,0,0,0.03,Action
GEN,1994,0,0,0.04,0,Platform
GC,2007,0.03,0.01,0,0,Action
3DS,2011,0.07,0.07,0,0.01,Racing
PS4,2016,0,0,0.02,0,Action
PS3,2011,0.58,1.04,0.03,0.36,Action
DS,2005,0.44,0.05,0.39,0.05,Adventure
Wii,2012,1.48,0.83,0,0.21,Action
3DS,2013,0,0,0.01,0,Action
PS2,2005,0.26,0.2,0,0.07,Action
PSP,2011,0,0,0.22,0,Action
PSP,2010,0,0,0.17,0,Action
PS2,2010,0.08,0.11,0,0.08,Action
SAT,1996,0,0,0.04,0,Adventure
PS,1997,0.05,0.03,0,0.01,Racing
XB,2004,0.04,0.01,0,0,Racing
WiiU,2012,0.02,0.01,0.05,0,Action
XB,2004,0.82,0.59,0,0.07,Action
Wii,,1.51,0.61,0,0.21,Action
N64,1997,0.12,0.03,0,0,Adventure
PS4,2015,1.03,0.81,0.26,0.38,Action
PS3,2012,0.18,0.12,0.06,0.05,Action
XB,2002,0.1,0.03,0,0,Action
PS,1999,0.22,0.15,0,0.03,Platform
PS2,2006,0,0,0.04,0,Adventure
PSP,2012,0,0,0.02,0,Adventure
PS3,2010,0,0,0.02,0,Action
PS3,2014,0.04,0.03,0,0.01,Action
PS3,2011,0,0,0.18,0,Action
PSV,2011,0.03,0.07,0.05,0.02,Racing
Wii,2011,0.08,0.04,0,0.01,Adventure
PS,1999,0.31,0.21,0,0.04,Action
XB,2005,0.05,0.02,0,0,Platform
PS3,2014,0,0,0.02,0,Adventure
X360,2012,0.9,0.61,0,0.15,Action
PS2,1988,0.55,0.07,0.94,0.06,Racing
XB,2005,0.1,0.03,0,0,Action
PS3,2011,0.24,0.52,0.01,0.18,Racing
PS2,2001,0.2,0.15,0,0.05,Racing
Wii,2008,0.06,0.39,0,0.01,Racing
PSP,2012,0,0,0.01,0,Action
PS3,,0,0,0.02,0,Adventure
PS3,2010,0.26,0.12,0,,Action
DS,2011,0.05,0.02,0,0.01,Adventure
SAT,1997,0,0,0.21,0,Adventure
PC,2008,0,0.01,0,0,Racing
PS4,2015,0.24,0.29,0.01,0.1,Action
PS,2000,0.05,0.04,0,0.01,Action
N64,2000,0.08,0.02,0,0,Racing
PC,2015,0,0.03,0,0,Adventure
PS2,2006,0,0,0.03,0,Adventure
DS,2009,0,0,0.03,0,Action
N64,1998,0.05,0.01,0,0,Racing
PSP,2008,0.03,0,0.05,0.01,Platform
PSV,2016,0,0,0.02,0,Adventure
PS2,2007,0.13,0.1,0,,Action
PS2,2004,0.06,0.05,0,0.02,Adventure
PS2,2002,0,0,0.02,0,Racing
X360,2012,0.72,0.44,0,0.11,Action
PS3,2013,0.33,0.69,0.05,0.19,Racing
PC,2015,0.09,0.03,0,0.01,Action
PS,1998,0.24,0.16,0,0.03,Action
GBA,2002,0.02,0.01,0,0,Racing
PS,1998,0.11,0.08,0,0.01,Racing
Wii,2011,0.07,0.02,0,0.01,Action
Wii,2009,0,0,0.02,0,Adventure
PS2,2005,0.08,0.06,0,0.02,Adventure
PS2,2005,0.5,0.02,0,0.08,Platform
GBA,2002,0.01,0,0,0,Action
GBA,2002,0.26,0.1,0,0.01,Action
Wii,2009,0,0.1,0.17,0.02,Action
GC,2001,0.2,0.05,0,0.01,Adventure
X360,2010,0.24,0.08,0,0.03,Action
Wii,2007,0.43,0.46,0.09,0.09,Adventure
PSP,2013,0,0,0.02,0,Adventure
PC,2008,0,0.02,0,0,Action
GC,2005,0.04,0.01,0,0,Racing
GC,2002,0.08,0.02,0,0,Action
DS,2009,0,0,0.03,0,Action
DS,2007,0.05,0.01,0,0.01,Adventure
2600,,1.17,0.07,0,0.01,Action
X360,2009,2.99,1.9,0.1,0.5,Racing
WiiU,2016,0.07,0.14,0.11,0.02,Action
PS3,2010,1.87,0.55,0.11,0.29,Action
N64,2000,0,0,0.1,0,Racing
PS2,2008,0,0,0.02,0,Adventure
Wii,2011,0.04,0.03,0,0.01,Action
GC,2002,0.23,0.06,0,0.01,Platform
PSP,2007,0.06,0.2,0,0.11,Racing
Wii,2010,0.05,0,0,0,Adventure
PS2,2007,0.03,0.03,0,0.01,Racing
PS2,2001,0.12,0.1,0.08,0.03,Platform
GC,2004,0.7,0.39,0.01,0.03,Racing
DS,2008,0,0,0.03,0,Adventure
PS2,2002,0.52,0.4,0,0.14,Racing
PS3,2013,0.02,0.01,0,0.01,Racing
PS,1997,0.35,0.24,0,0.04,Action
PS2,2007,0,0,0.01,0,Adventure
3DS,2014,0,0,0.07,0,Adventure
PC,2009,0,0.04,0,0.01,Adventure
PC,2011,0.16,0.28,0,0.09,Action
SAT,1996,0,0,0.03,0,Adventure
X360,2014,0.09,0.06,0,0.01,Action
PS3,2011,0.15,0.11,0,0.05,Action
Wii,2006,3.74,2.14,0.6,0.68,Action
PS2,1989,0.81,0.93,0.89,0.04,Action
DS,2009,0.19,0,0,0.01,Action
XB,2002,0.11,0.03,0,0.01,Action
PS4,2015,2.07,1.71,0.08,0.76,Action
PS2,2005,0.33,0.01,0,0.05,Racing
X360,2014,0.28,0.16,0,0.04,Action
PS2,2002,0.05,0.04,0,0.01,Racing
PSP,2010,0,0,0.01,0,Adventure
GBA,2003,0.21,0.08,0,0.01,Racing
PC,2011,0.04,0.02,0,0.01,Action
X360,2016,0.01,0.02,0,0,Adventure
PS2,2007,2.32,0.04,0.04,1.67,Action
XOne,2016,0.42,0.58,0,0.08,Racing
XB,2003,0.45,0.1,0,0.02,Platform
Wii,2008,0.19,0,0,0.02,Action
PSP,2006,0,0,0.01,0,Action
XOne,2015,0.03,0.02,0,0,Action
DS,2007,0.03,0,0,0,Action
GBA,2005,0.22,0.08,0,0.01,Action
NES,1985,5.82,3.21,1.6,0.52,Platform
XB,2003,0,0,0.03,0,Action
PSP,2011,0,0,0.03,0,Adventure
PC,2015,0.11,0.09,0,0.02,Action
GC,2006,0.09,0.02,0,0,Platform
PS,1998,0.02,0.01,0.12,0.01,Adventure
PS2,2008,0.17,0.13,0,0.04,Platform
GB,2000,1.04,0.72,0.3,0.13,Platform
PS3,2013,0.14,0.18,0.03,0.07,Action
X360,2011,0.16,0.06,0,0.02,Action
PS2,2008,0.72,0.03,0,0.52,Action
GBA,2002,0.33,0.12,0,0.01,Platform
GBA,2003,0.01,0,0,0,Racing
PS,1999,0.41,0.28,0,0.05,Racing
PSP,2006,0.1,0,0,0.01,Adventure
PS3,2007,0.14,0.01,0.31,0.02,Action
PS3,2009,0.44,0.39,0.21,0.16,Action
DS,2005,0.12,0,0,0.01,Action
PS3,2011,0.06,0.02,0,0.01,Racing
TG16,2007,0.75,0.89,0.29,0.23,Action
PS,1998,1.63,1.53,0,0.18,Adventure
WiiU,2008,0.67,0.35,0.4,0.49,Action
3DS,2014,0.16,0.1,0,0.02,Action
DS,2009,0.1,0,0,0.01,Racing
X360,2013,0.08,0.02,0.01,0.01,Action
PSP,2007,0.22,0,0,0.02,Action
X360,2008,1.91,0.84,0,0.29,Action
PS2,2007,0,0,0.01,0,Adventure
PS2,2006,0.15,0.12,0.34,0.04,Action
PS4,2016,0.05,0.02,0,0.02,Action
3DS,2013,0.03,0.03,0,0.01,Action
X360,2007,0.54,0.39,0,0.11,Action
DS,2007,0,0,0.02,0,Action
X360,2009,0.26,0.2,0,0.05,Action
PC,2015,0.05,0.02,0,0.01,Action
PS3,2011,0.07,0,0,0.01,Racing
PSP,2011,0,0,0.01,0,Adventure
GBA,2001,0.87,0.66,0.08,0.08,Action
PSV,2014,0,0,0.03,0,Adventure
DS,2010,0.12,0.02,0,0.01,Action
X360,2011,0.07,0.03,0,,Action
PSP,2009,0,0,0.04,0,Action
Wii,2007,0.18,0.16,0.03,0.04,Adventure
PS4,2015,1.53,1.69,0.1,0.64,Action
GC,2005,0.76,0.2,0,0.03,Platform
PS3,2012,0.14,0.39,0,0.15,Action
Wii,2008,0.27,0.31,0,0.07,Racing
DS,2010,0.43,0.5,0,0.11,Racing
DS,2006,0.02,0,0,0,Action
XOne,2013,0.83,0.43,0,0.13,Action
2600,1982,0.13,0.01,0,0,Action
N64,1994,0.04,0.68,0.47,0.75,Action
GBA,2003,0.67,0.25,0,0.02,Action
DS,2007,0.08,0.02,0,0.01,Action
SNES,1992,0.66,0.17,0.35,0.03,Platform
PS3,2012,0.37,0.49,0,0.19,Action
PS2,1990,0.69,1,0.36,0.24,Platform
PC,2014,0,0.01,0,0,Action
Wii,2010,0.99,0.52,0.92,0.14,Platform
3DS,2016,0.02,0.01,0.01,0,Action
GBA,2004,0.23,0.09,0,0.01,Action
GC,2004,0.15,0.04,0,0.01,Action
XB,2004,0.18,0.05,0,0.01,Racing
N64,1998,0.23,0.06,0,0,Racing
PS2,2004,0.2,0.16,0,0.05,Action
N64,1998,0.46,0.96,0.09,0.08,Racing
PS4,2016,0.03,0.26,0,0.05,Action
DS,2005,0.2,0.01,0,0.02,Action
X360,2011,0.11,0,0,0.01,Racing
PS2,2001,0.34,0.27,0,0.09,Racing
GBA,2002,0.22,0.08,0,0.01,Racing
SAT,1997,0,0,0.14,0,Adventure
XB,2003,0.17,0.05,0,0.01,Racing
PS4,2016,0.02,0.02,0,0.01,Action
X360,2009,0,0.03,0,0,Racing
PS3,2011,1.41,2.01,0.1,0.7,Action
Wii,2010,0.03,0,0,0,Racing
GBA,2003,0.02,0.01,0,0,Racing
2600,1982,0.29,0.02,0,0,Action
DS,2007,0,0,0.11,0,Action
PS2,2004,3.01,0.01,1.1,7.53,Racing
PSV,2012,0,0,0.03,0,Adventure
GBA,2002,0.15,0.05,0,0,Action
DS,,0.07,,0,0.01,Action
DS,2010,0.23,0.04,0,0.02,Action
PSV,2012,0.07,0.09,0,0.03,Action
PS2,2008,0.17,0,0,0.26,Action
PC,2014,0,0.03,0,0,Action
PS2,2008,0.03,0.03,0,0.01,Action
DS,2008,0,0,0.04,0,Action
PS3,2014,0.33,0.43,0.02,0.15,Action
GBA,2005,0.35,0.13,0,0.01,Action
SAT,1994,0,0,0.09,0,Platform
PSV,2015,0,0,0.02,0,Adventure
PS2,2002,0.59,0.46,0,0.15,Action
PS,1996,0.44,0.3,0.09,0.06,Platform
3DS,2011,0.47,0.26,0.35,0.07,Action
PS2,1987,0.01,0.9,0.31,0.47,Platform
GC,2002,0.04,0.01,0,0,Racing
DS,2009,0.07,0,0,0,Adventure
XB,2005,0.04,0.01,0,0,Action
WiiU,2013,0.02,0.01,0,0,Action
PS2,2010,0,0,0.01,0,Adventure
PS3,2008,0.12,0.11,0,0.02,Racing
PS2,2001,0.04,0.03,0,0.01,Action
PSP,2010,0,0,0.02,0,Adventure
PS2,2001,0.23,0.18,0,0.06,Action
PS2,1991,0.89,0.52,0.94,0.54,Platform
XB,2003,1.09,0.55,0,,Racing
TG16,2006,0.27,0.38,0.31,0.98,Adventure
GBA,2002,1.21,0.64,0.05,0.09,Action
PSP,2012,0,0,0.03,0,Adventure
N64,1999,0.68,0.12,0,0.01,Action
PS,1999,0.31,0.21,0,0.04,Action
PS2,2006,0,0,0.02,0,Action
GBA,2004,0.41,0.15,0,0.01,Action
DS,2008,0.1,0,0,0.01,Racing
Wii,2007,0.17,0,0,0.01,Action
PSV,2015,0,0,0.19,0,Action
Wii,2008,0.17,0.01,0,0.01,Adventure
DS,2006,0.03,0,0,0,Platform
PS3,2015,0,0,0.09,0,Action
X360,,1.74,0.77,0,0.26,Action
PS,1999,0.71,0.48,0.3,0.1,Action
PSV,2015,0,0.02,0.01,0.01,Action
X360,2013,0.07,0.15,0,0.02,Action
PS3,2008,4.76,3.69,0.44,1.61,Action
N64,1998,0.05,0.01,0,0,Racing
X360,2014,0.08,0.13,0,0.02,Racing
GBA,2001,0.01,0,0,0,Action
GBA,2003,0.04,0.01,0,0,Action
PSP,2010,0,0,0.01,0,Adventure
PSP,2006,0.04,0,0,0,Racing
PS4,2015,0.03,0,0,0.01,Action
PSP,2012,0,0,0.02,0,Action
PS3,2011,0.4,0.26,0.05,0.11,Action
PS3,2011,0.27,0.46,0,0.15,Action
PC,2010,0,0.08,0,0.02,Action
GC,2004,0.26,0.07,0,0.01,Platform
GC,2005,0.11,0.03,0,0,Action
PS3,2012,0,0,0.14,0,Action
3DS,2011,0,0,0.08,0,Action
GBA,2004,0.44,0.16,0,0.01,Platform
DS,2011,0.08,0.03,0,0.01,Racing
PSV,2013,0,0,0.01,0,Action
WiiU,2010,0.34,0.99,1,0.21,Action
XB,2002,0.02,0.01,0,0,Racing
GBA,2006,0.18,0.07,0,0,Platform
Wii,2009,0.42,0,0,0.03,Adventure
XB,2002,1.85,1.04,0,0.13,Action
XB,2004,0.1,0.03,0,0,Action
PS4,2016,0.02,0,0,0.01,Action
DS,2007,0.09,0.02,0.06,0.01,Adventure
PC,2011,0,0.03,0,0.01,Platform
GC,2002,0.13,0.03,0,0,Platform
PS,1997,4.02,3.87,2.54,0.52,Racing
XB,2006,0.07,0.02,0,0,Platform
PSV,2012,0.12,0.16,0.05,0.06,Action
PSV,2016,0,0,0.01,0,Action
X360,2011,0,0.04,0.01,0.01,Action
PS2,2009,0,0,0.03,0,Action
DS,2008,0.26,0,0,0.02,Action
TG16,2007,0.06,0.69,0.18,0.09,Platform
GBA,2005,0.02,0.01,0,0,Platform
PS4,2015,0.45,0.9,0.05,0.26,Adventure
PSP,2005,0.06,0,0,0,Platform
PSV,2014,0,0,0.01,0,Platform
PSP,2011,0,0,0.02,0,Action
GC,2003,0.12,0.03,0,0,Racing
DS,2009,0,0,0.03,0,Action
PSP,2006,0.64,0,0,0.05,Racing
N64,1999,0.01,0,0,0,Action
PS2,2007,0.78,0.03,0.03,0.13,Action
PC,2008,0,0.02,0,0,Action
PS3,2015,0.02,0.05,0,0.01,Action
PSV,2015,0,0,0.02,0,Action
PS3,2011,0.39,0.39,0,0.16,Action
PS2,2010,0,0,0.02,0,Adventure
PC,2008,0,0.06,0,0.01,Action
3DS,2012,0,0,0.09,0,Action
XB,2002,0.09,0.03,0,0,Racing
PS2,2004,0.37,0.29,0,0.1,Action
DS,2011,0,0,0.06,0,Adventure
PSP,2011,0,0,0.02,0,Action
PSV,2012,0,0,0.02,0,Action
PSP,2012,0,0,0.02,0,Action
XB,2003,0.96,0.37,0,0.05,Action
PSP,2009,0,0,0.02,0,Adventure
PS2,2001,0.13,0.1,0,0.03,Racing
Wii,2009,0.09,0.01,0,0.01,Racing
GBA,2001,0.09,0.03,0,0,Platform
PS,2000,1.93,1.58,0,0.19,Platform
PS,1999,0.03,0.02,0,0,Action
PS2,2002,0.25,0.2,0,0.07,Racing
PSP,2008,0,0,0.02,0,Adventure
PS3,2011,0,0.04,0.57,0.01,Action
PS,1997,0.03,0.02,0,0,Platform
X360,2009,0,0,0.01,0,Adventure
X360,2008,0.32,0.35,0,0.08,Platform
X360,2007,0.29,0.01,0,0.03,Action
X360,2011,0.18,0.05,0,0.02,Action
PS2,2005,0.13,0.1,0,0.03,Action
PSP,2012,0,0,0.01,0,Action
XB,2003,0.11,0.03,0,0.01,Action
PSV,2015,0,0,0.01,0,Action
PS,1998,0,0,0.24,0.02,Racing
PSP,2006,0.55,0.21,0,0.16,Action
SAT,1998,0,0,0.11,0,Adventure
NES,1993,0.25,0.1,0,0.01,Action
Wii,2007,0.32,0.02,0.04,0.03,Platform
Wii,2011,0.02,0,0,0,Racing
DS,2007,0.06,0,0,0,Platform
PSP,2005,0.02,0.01,0,0,Racing
2600,1976,0.48,0.51,0.72,0.86,Action
PSV,2015,0,0,0.06,0,Action
SNES,2007,1.74,0.41,0.02,1.97,Action
PS3,2007,2.31,1.72,0.12,0.77,Action
Wii,2009,0.38,0,0,0.02,Racing
PS3,2010,0,0,0.02,0,Adventure
PS,2001,0.23,0.16,0,0.03,Racing
GBA,2004,0.15,0.05,0,0,Action
GC,2005,0.11,0.03,0,0,Adventure
PS2,2010,0.13,0.22,0.01,0.23,Action
PS,1997,0.05,0.04,0,0.01,Adventure
N64,1992,0.28,0.92,0.25,0.11,Platform
XB,2005,0.33,0.1,0,0.02,Action
PS,1994,0,0,0.74,0.05,Racing
Wii,2008,0.1,0,0,0.01,Racing
PSP,2008,0.02,0,0.18,0,Action
DS,2010,0,0,0.11,0,Action
PSP,2011,0,0,0.02,0,Adventure
PS2,2005,0.04,0.03,0,0.01,Platform
PSP,2006,0,0,0.01,0,Adventure
PS3,2009,0.32,0.42,0,0.16,Action
PS4,2015,0.03,0.02,0.06,0.01,Action
GBA,2003,0.06,0.02,0,0,Action
PS2,2008,0.32,0.01,0,0.05,Action
GBA,2005,0.11,0.04,0,0,Action
GC,2006,0.75,0.19,0,0.03,Action
GBA,2001,0.2,0.08,0,0.01,Platform
PSP,2012,0,0,0.01,0,Action
XB,,0.08,0.02,0,0,Platform
PS2,2008,0.01,0.01,0,0,Racing
XB,2004,0.04,0.01,0,0,Action
NES,1985,5.82,3.21,1.6,0.52,Platform
DS,2007,0.08,0,0,0.01,Racing
PSV,2015,0,0,0.03,0,Action
3DS,2016,0.07,0.09,0.01,0.01,Action
GB,1997,0.7,0.35,0.39,0.04,Platform
XB,2003,0.23,0.07,0,0.01,Racing
PS2,1994,0.07,0.01,0.12,0.92,Platform
PS,1999,0,0,0.1,0.01,Adventure
PS2,2004,0.05,0.04,0,0.01,Racing
PSV,2016,0,0,0.03,0,Adventure
SNES,1994,0,0,0.2,0,Racing
GB,1992,2.21,0.96,0.54,0.13,Action
PC,,0.02,0.16,0,0.02,Action
PSP,2009,0,0,0.02,0,Action
SNES,2007,0.81,1.78,0.71,1.74,Action
PS,2000,0.3,0.21,0.2,0.05,Platform
WiiU,2016,0,0.01,0,0,Adventure
X360,2011,0.17,0.08,0,0.02,Action
N64,1992,0.68,0.27,0.48,0.72,Adventure
PS2,2004,0.29,0.23,0,0.08,Racing
GC,2004,0.73,0.19,0,0.03,Platform
PSV,2016,0.01,0.06,0.01,0.02,Action
DS,2009,0,0,0.12,0,Action
PS3,2013,0,0,0.03,0,Action
PC,2007,0.01,0.01,0,0,Action
DS,2010,0,0.02,0,0,Adventure
PS3,2013,0.14,0.34,0,0.1,Platform
GBA,2004,0.1,0.04,0.2,0.01,Platform
PS,1995,0.06,0.04,0,0.01,Action
PS,2001,0.31,0.21,0,0.04,Platform
PS2,2006,0.25,0.19,0,0.06,Action
PS2,2001,0.29,0.23,0,0.08,Racing
X360,2012,0.1,0.34,0,0.05,Racing
GBA,2001,0.01,0.01,0,0,Platform
PC,2009,0,0.02,0,0,Action
DS,2008,0,0,0.01,0,Adventure
Wii,2008,0.06,0,0,0,Adventure
NES,1991,0.51,0.09,0.32,0.01,Platform
PS4,2015,0.81,1.99,0.07,0.52,Action
XB,2006,0.03,0.01,0,0,Action
GBA,,0.4,0.15,0,0.01,Action
GBA,2005,0.09,0.03,0,0,Platform
PS3,2011,0,0.09,0.11,0.02,Action
PS3,2007,1.28,1.82,0.57,0.52,Racing
PS2,1992,0.69,0.96,0.69,0.4,Adventure
GC,2004,0.1,0.02,0,0,Racing
PS,2000,0.23,0.15,0.29,0.05,Action
PS2,2002,0.14,0.11,0,0.04,Adventure
GBA,2002,0.01,0,0,0,Racing
PS,1997,1.05,0.2,0,0.05,Racing
GC,2002,0.28,0.07,0,0.01,Action
N64,1988,0.92,0.24,0.25,0.82,Adventure
X360,2007,0.12,0.22,0,0.05,Action
PS2,2004,0.32,0.25,0,0.08,Platform
PS2,2003,0.14,0.11,0,0.04,Action
PS3,2010,0.22,0.36,0.02,0.12,Racing
PS2,1996,0.67,0.58,0.07,0.21,Racing
Wii,2009,0.15,0.07,0.05,0.02,Action
SNES,2016,0.95,1.97,0.15,1.5,Action
PS,1998,0.18,0.12,0,0.02,Platform
3DS,2012,0,0,0.06,0,Action
PS2,1989,0.59,0.78,0.11,0.35,Action
PS3,2015,0,0,0.03,0,Adventure
PS4,2016,0.22,0.32,0,0.1,Action
PS2,2007,0.31,0,0,0.53,Action
PS3,2009,0,0,0.02,0,Adventure
PSV,2015,0,0,0.03,0,Adventure
PC,2008,0.01,0.01,0,0,Action
DS,2008,0.08,0,0,0.01,Action
PC,2001,0.01,0.04,0,0.01,Action
3DS,2015,0.53,0.33,0.17,0.08,Action
XB,2003,0.08,0.02,0,0,Adventure
XOne,2014,0.26,0.15,0,0.04,Action
X360,2013,0.57,0.32,0.01,0.08,Action
PSP,2006,0.08,0,0,0.01,Action
PSP,2011,0,0,0.02,0,Adventure
GBA,2003,0.14,0.05,0,0,Platform
PSP,2013,0,0,0.03,0,Adventure
X360,2009,1.04,1.22,0.03,0.27,Action
DS,1985,0,0,0.02,0,Action
2600,1982,0.14,0.01,0,0,Action
PS2,1999,0.17,0.67,0.55,0.21,Adventure
PS3,2007,0.17,0.41,0,0.15,Action
X360,2012,0.72,0.2,0,0.08,Action
PS4,2015,0,0.06,0,0.01,Adventure
PS2,2006,0,0,0.02,0,Action
PS3,2007,0.57,0.72,0.06,0.29,Action
DS,2010,0.53,0.35,0,0.09,Action
PS2,2001,0.07,0.05,0,0.02,Platform
PSV,2015,0,0,0.05,0,Action
GBA,2003,0.13,0.05,0,0,Platform
PS3,2012,0.42,0.3,0.01,0.15,Action
WiiU,2014,0.7,0.55,0.16,0.12,Platform
GC,2004,0.23,0.06,0,0.01,Action
X360,2010,0.08,0.06,0,0.02,Action
GC,2003,0.09,0.02,0,0,Platform
PS,1998,0.13,0.09,0,0.01,Action
DS,2008,0.08,0.01,0,0.01,Adventure
WiiU,2015,0,0.01,0,0,Action
PS,1996,0.03,0.02,0,0,Adventure
X360,2015,0.06,0.01,0,0.01,Action
PS4,2016,0.18,0.15,0,0.07,Adventure
PS3,2006,0.18,0.37,0.06,0.14,Action
PS2,2002,0.06,0.05,0,0.02,Platform
GBA,2003,0.24,0.09,0,0.01,Platform
DS,2006,0.14,0,0,0.01,Adventure
2600,1982,0.23,0.01,0,0,Action
DS,2007,0,0,0.12,0,Adventure
PS4,2016,0,0,0.16,0,Adventure
PS3,2015,0,0,0.02,0,Adventure
PS3,2009,0.09,0.01,0,0.01,Platform
Wii,2008,0.14,0,0,0.01,Adventure
PSV,2014,0,0,0.01,0,Adventure
PS2,2004,0.96,1.08,0.04,0.3,Action
PSP,2006,0,0,0.12,0,Action
TG16,2003,0.83,1,0.07,0.4,Action
PS3,2009,0.21,0.22,0.05,0.09,Action
PSV,2014,0,0,0.09,0,Action
GC,2006,0.71,0.18,0,0.03,Racing
3DS,2013,0.1,0.12,0,0.02,Platform
PSV,2014,0,0,0.06,0,Action
DS,2003,0.03,0,0.01,0,Adventure
Wii,2010,0.14,0,0,0.01,Adventure
PS3,2009,0.38,0.25,0,0.11,Action
GC,2004,0.63,0.16,0,0.02,Action
WiiU,2013,0.06,0,0,0.01,Action
DC,2000,0.41,0.23,0.47,0.03,Action
Wii,2012,0.12,-0.04,0.23,0.21,Platform
PSV,2013,0.01,0.09,0,0.03,Adventure
PS2,2006,0,0,0.23,0,Action
DS,2010,0.16,0,0,0.01,Adventure
Wii,2009,0,0.02,0,0,Racing
GB,1999,3.4,1.3,0.15,0.22,Platform
3DS,2015,0.01,0,0.03,0,Platform
DS,2007,0.02,0,0,0,Action
GC,2003,0.87,0.3,0.06,0.03,Platform
PSV,2015,0,0,0.02,0,Action
PS,1994,0.04,0.02,0,0,Adventure
3DS,2011,0,0,0.02,0,Action
DS,2008,0.16,0,0,0.01,Adventure
GC,2004,0.02,0,0,0,Action
PS3,2013,0.1,0.17,0,0.06,Action
PS,2000,0.31,0.21,0,0.04,Racing
PS4,2014,0,0.05,0.01,0.01,Action
GBA,2002,0.19,0.07,0,0,Action
PS4,2016,0,0,0.08,0,Action
PS,,0.1,0.07,0,0.01,Action
DS,2011,0.1,0.01,0,0.01,Action
PSV,2014,0,0,0.06,0,Adventure
Wii,2010,0.03,0,0,0,Action
PS4,2015,0,0,0.05,0,Action
PS2,2006,0.12,0.1,0.03,0.03,Racing
PS3,2012,0.15,0.1,0.03,0.04,Action
GBA,2002,0.03,0.01,0,0,Action
PS2,2009,0.14,0.03,0,0.16,Action
PS4,2015,0.02,0,0.05,0.01,Action
DS,2010,0,0,0.07,0,Adventure
Wii,2010,0.18,0.02,0,0.01,Action
X360,2011,0,0.04,0,0,Adventure
Wii,2007,0.12,0,0,0.01,Racing
PS,2000,0.45,0.31,0,0.05,Racing
PS2,2002,0.22,0.17,0,0.06,Adventure
X360,2009,0.14,0.01,0,0.01,Adventure
DS,2004,0.31,0.22,0,0.06,Racing
GC,2002,0.1,0.03,0,0,Platform
2600,1987,0.44,0.02,0,0,Action
GC,2005,0.17,0.04,0,0.01,Action
PSP,2004,0.18,0,0.3,0.02,Action
SNES,1992,0,0,0.28,0,Racing
X360,2009,0.03,0.04,0,0,Action
PS,1997,0.01,0.01,0,0,Racing
PSP,2011,0,0,0.03,0,Adventure
XB,,0.05,0.01,0,0,Racing
GC,2002,0.14,0.04,0,0,Action
GBA,2005,0.08,0.03,0,0,Platform
Wii,2011,0.08,0,0,0.01,Action
PS,2000,2.36,2.1,0.02,0.25,Action
GBA,2003,1.04,0.37,0,0.06,Platform
DS,2002,0.12,0,0.01,0,Platform
PSV,2015,0,0,0.05,0,Racing
PS,1996,0.09,0.06,0,0.01,Action
PS2,2001,0.2,0.16,0,0.05,Platform
3DS,2012,0.16,0,0.03,0.01,Action
3DS,2012,0,0,0.21,0,Action
X360,2009,3.11,1.55,0.08,0.51,Action
PS2,2001,0.53,0.16,1.07,0.1,Action
PC,2010,0,0.04,0,0.01,Racing
DS,2007,0,0,0.05,0,Adventure
PS3,2009,0.14,0.15,0,0.06,Action
PS4,2015,0.03,0.08,0,0.02,Adventure
WiiU,2011,0.81,0.6,0.38,0.04,Racing
PS3,2011,0.05,0.01,0,0.01,Action
X360,2007,0.11,0.01,0,0.01,Action
DS,2007,0,0,0.14,0,Platform
PS3,2011,0.07,0.06,0.01,0.03,Action
X360,2005,0.36,0.02,0,0.03,Action
PS2,2003,1.89,1.05,0.02,0.31,Action
GBA,2004,0.36,0.13,0,0.01,Action
PSV,2012,0.15,0.09,0,0.04,Racing
PC,2010,0.08,0.02,0,0.01,Action
GC,2003,0.01,0,0,0,Racing
PS2,2006,0,0,0.02,0,Adventure
DS,2007,0,0,0.01,0,Action
DS,2005,0.17,0,0,0.01,Action
PS3,2010,0.14,0.18,0,0.07,Action
Wii,2007,0.08,0,0,0.01,Action
DS,2003,0.06,32,0.01,0,Adventure
XB,2002,0.07,0.02,0,0,Action
N64,2000,0.37,0.08,0.14,0.01,Racing
Wii,2009,0.25,0.74,0,0.14,Platform
GBA,2003,0.02,0.01,0,0,Action
X360,2012,0.28,0.12,0,0.04,Action
PS3,2012,0.21,,0,0.08,Action
PSP,2009,0.05,0,0.06,0.01,Action
PS2,2008,0,0,0.02,0,Adventure
GBA,2006,,0.01,0,,Platform
3DS,2015,0,0.03,0,0,Action
PS2,2009,0.13,0,0,0.05,Action
PS,1995,0.09,0.06,0,0.01,Racing
PSV,2016,0,0,0.03,0,Action
2600,1974,0.6,0.19,0.72,0.54,Adventure
WiiU,2014,0,0.03,0.08,0,Action
PS4,2016,0.03,0.29,0.01,0.05,Racing
SAT,1996,0,0,0.36,0,Adventure
XOne,2015,0.07,0.07,0,0.01,Action
